CCS,Adduct,SMILES
180.59,[M+H]+,CCN(c1ccc(cc1)NC(=O)CN1CSCC1=O)CC
195.3,[M-H]-,Clc1cc(Cl)cc(c1)C(=O)Nc1cccc(c1)S(=O)(=O)N1CCOCC1
206.31,[M+H]+,O=C(NC(c1ccco1)C)CSc1nnc(n1c1ccc(cc1)F)Cc1ccccc1
198.29,[M-H]-,CSCCC(C(=O)NCc1cccnc1)NC(=O)c1ccccc1Br
205.42,[M-H]-,CC(=O)N1Cc2ccccc2CC1C(=O)NC(c1ccccc1)c1ccccc1
218.66,[M-H]-,O=C(C1COc2c(O1)cccc2)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)N1CCCC1=O
191.32,[M+Na]+,O=C(Cc1cscc1)NCC(c1c[nH]c2c1cccc2)c1ccccc1Cl
143.2,[M+H]+,CN(C)C(=NCCC[C@@H](C(=O)O)N)N
207.56,[M+Na]+,CCOC(=O)C1=C(CN(Cc2ccc(cc2)C)C)NC(=O)NC1CC
197.04,[M+H]+,Fc1ccc(cc1)C(c1cccs1)NC(=O)C1CN(C(=O)C1)C1CCCC1
206.1,[M+Na]+,CC1OC(C)CN(C1)C(=O)CSc1nnnn1c1ccc(cc1)OC(F)(F)F
169.41,[M-H]-,O=C(CC(c1ccccc1)C)Nc1cccc(c1)C
188.62,[M+H]+,Clc1ccc(cc1)c1nnc(o1)CN(C(=O)c1ccc(o1)C)C1CC1
199.9,[M+Na]+,O=C(N1CCc2c(C1)cccc2)CN1C(=O)NC2(C1=O)CCCCCCC2
203.89,[M+Na]+,O=C(CN1C(=O)N(C(C1=O)C)c1ccc(cc1)C)NCCC1=CCCCC1
191.91,[M+H]+,O=C(C(C)(C)C)NCc1ccc(s1)C(=O)Cn1cc(ccc1=O)C(F)(F)F
220.13,[M-H]-,CC(C(C(=O)N(CC1COc2c(O1)cccc2)C)NC(=O)C12CC3CC(C2)CC(C1)C3)C
193.41,[M+H]+,Cc1ccc2n(c1)c(=O)cc(n2)CN1CCc2c(C1c1ccccc1)ccs2
210.54,[M+Na]+,O=C1NC(C(=O)N1CC(=O)N(C12CC3CC(C2)CC(C1)C3)Cc1ccco1)Cc1ccccc1
204.8,[M-H]-,O=C(C(Cc1c[nH]c2c1cccc2)NC(=O)c1ccc(cc1)F)NCc1ccncc1
223.51,[M-H]-,O=C(N1CCC(CC1)C(=O)N1CCCCC1c1nc2c(s1)cccc2)Nc1ccccc1
188.98,[M+H]+,O=C(C(c1ccccc1)NCCc1c[nH]c2c1cccc2)N1CCCCC1
187.26,[M+H]+,CC(N(C(=O)c1cc(F)cc(c1)F)C)c1ccc(cc1)S(=O)(=O)C
175.0,[M+Na]+,C1=CN(C2(CC(C(COP(O)(=O)OP(O)(O)=O)(O2)[H])(O)[H])[H])C(=NC1=N)O
192.34,[M+H]+,O=C(CN(S(=O)(=O)c1ccccc1)Cc1ccccc1)NC(c1cccnc1)C
157.2,[M+H]+,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2
213.76,[M+Na]+,COC(=O)C(C(C(F)(F)F)(c1nccn1C)O)(COC(=O)c1cccc(c1)Cl)O
176.08,[M+Na]+,CC(=O)Nc1ccc(cc1)NC(=O)c1ccc2c(c1)OCO2
177.22,[M-H]-,COCCOC(=O)C1=C(C)NC(=O)NC1c1ccc(cc1)OC
191.29,[M-H]-,COCCNC(=O)CSc1nc(c([nH]1)c1ccccc1)c1ccccc1
209.72,[M-H]-,COc1cccc(c1)Nc1nnc(s1)SCC(=O)N1CCCC(C1)c1nc2c(s1)cccc2
202.72,[M+Na]+,CCCCCC(NC(=O)CN1C(=O)NC2(C1=O)CCCc1c2cccc1)C
205.84,[M+H]+,O=C(C1CC(=O)N(C1)c1cccc2c1cccc2)N1CCN(CC1)S(=O)(=O)c1cccs1
163.94,[M+H]+,OCCN(c1ccc(cc1)C1NC(=O)c2c(N1)cccc2)C
196.94,[M+H]+,O=C(c1ccc(cc1)c1ccccc1)CN1C(=O)N(C(=O)C1=O)C1CCCC1
