SMILES,Adduct,Ture CCS
C1=CC=C(C(=C1)C(=O)O)N,[M+H]+,132.3800049
CCC(C(=O)O)N,[M-H]-,121.7399979
CCC(CO)C(=O)O,[M-H]-,123.2099991
C1=CC(=CC(=C1)O)CC(=O)O,[M+Na]+,139.9799957
OC(C(O)C1=CC=CC=C1)C(O)=O,[M+Na]+,141.6000061
OC(C(O)C1=CC=CC=C1)C(O)=O,[M-H]-,140.2599945
CC(CCC(=O)O)CC(=O)O,[M+Na]+,136.2200012
C/C(=C\C(=O)O)/CC(=O)O,[M+Na]+,132.1100006
CC(=O)OC1=CC=C(C=C1)O,[M+Na]+,138.25
CC(=O)OC1=CC=C(C=C1)O,[M-H]-,129.4700012
C1(C(=O)NC(=O)N1)NC(=O)N,[M-H]-,126.1600037
CCCCCCCCCCCCCCCCCCCC(=O)O,[M+Na]+,198.3099976
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,[M+H]+,178.9799957
CCCCCCCCCCCCCCCCCCCCCC(=O)O,[M+Na]+,204.2599945
CCCCCCCCCC(=O)O,[M+Na]+,143.5299988
C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O,[M+H]+,171.2200012
C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O,[M+Na]+,178.5500031
C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O,[M-H]-,172.3399963
CN(CC(=O)O)C(=N)N,[M+H]+,122.2300034
CN1CC(=O)N=C1N,[M-H]-,120.5599976
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,[M+Na]+,138.5299988
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,[M+Na]+,143.2400055
CCOC(=O)CC(C)C(=O)OCC,[M+Na]+,151.2299957
