SMILES,Adduct,True CCS
CC(=O)OC[C@]12[C@H](O)C(=O)C(C)=C[C@H]1O[C@@H]1[C@H](O)C[C@@]2(C)C12CO2,[M+H]+,169.5
CC(=O)OC[C@]12[C@H](O)C(=O)C(C)=C[C@H]1O[C@@H]1[C@H](O)C[C@@]2(C)C12CO2,[M-H]-,176.5
CC(=O)O[C@@H]1C[C@@]2(C)[C@]3(CO3)[C@@H]1O[C@@H]1C=C(C)C(=O)[C@@H](O)[C@@]12CO,[M+H]+,170.2
CC(=O)O[C@@H]1C[C@@]2(C)[C@]3(CO3)[C@@H]1O[C@@H]1C=C(C)C(=O)[C@@H](O)[C@@]12CO,[M-H]-,180
COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2,[M-H]-,174.9
COC1=CC2=C(C3CCOC3O2)C2=C1C1=C(C(=O)OCC1)C(=O)O2,[M-H]-,176.9
[H][C@]12OC=C[C@@]1(O)C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCC1=O,[M+H]+,166.7
CC1=CC(O)=CC2=C1C1=C(C(=O)O2)C(O)=CC(O)=C1,[M+Na]+,173.1
CC1=CC(O)=CC2=C1C1=C(C(=O)O2)C(O)=CC(O)=C1,[M+H]+,151.5
CC1=CC(=CC2=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O,[M+Na]+,176.5
CC1=CC(=CC2=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O,[M+H]+,154.3
CC1=CC(=CC2=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O,[M-H]-,156.8
CC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C1=O,[M-H]-,277.5
[H][C@]1(C)OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@]1([H])C,[M-H]-,158
[H][C@]1(C)OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@]1([H])C,[M+Na]+,167
CC(=O)C1=C(O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O,[M+Na]+,187
CC(=O)C1=C(O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O,[M+H]+,173.7
CC1=CC2OC3C(O)CC(C)(C33CO3)C2(CO)C(O)C1=O,[M+H]+,160.8
CC1=CC2OC3C(O)CC(C)(C33CO3)C2(CO)C(O)C1=O,[M-H]-,170.3
CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C11CO1,[M+H]+,179.2
