SMILES,Adduct,True CCS
CNC[C@@H](C(=O)O)N,[M-H]-,140.6
C(CN)C(C(=O)O)N,[M-H]-,140.7
C(CNCC(=O)O)N,[M-H]-,141.9
CC(=O)C1=CCC[C@@H]2CC[C@H]1N2,[M+H]+,136.1
C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)NC(=N3)N)COC(=O)N)N,[M+H]+,159.6
C[C@H]1[C@H](C[C@@H]2C[C@@H](NC3=[N+]2[C@@H]1CN3)[C@H](C4=CC(=O)NC(=O)N4)O)OS(=O)(=O)[O-],[M+H]+,198.6
C[C@H]1[C@H](C[C@@H]2C[C@@H](NC3=[N+]2[C@@H]1CN3)[C@H](C4=CC(=O)NC(=O)N4)O)OS(=O)(=O)[O-],[M-H]-,198.9
C[C@@H]1CC[C@]2(CCCCO2)O[C@@H]1[C@@H](C)C[C@@H]([C@@H]3C(=C)[C@H]([C@H]4[C@H](O3)CC[C@]5(O4)CC[C@@H](O5)/C=C/[C@@H](C)[C@@H]6CC(=C[C@@]7(O6)[C@@H](CC[C@H](O7)C[C@](C)(C(=O)O)O)O)C)O)O,[M-H]-,308.4
C[C@@H]1CC[C@]2(CCCCO2)O[C@@H]1[C@@H](C)C[C@@H]([C@@H]3C(=C)[C@H]([C@H]4[C@H](O3)CC[C@]5(O4)CC[C@@H](O5)/C=C/[C@@H](C)[C@@H]6CC(=C[C@@]7(O6)[C@@H](CC[C@H](O7)C[C@](C)(C(=O)O)O)O)C)O)O,[M+Na]+,296.9
C/C=C\1/C(=O)N[C@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@H](CCC(=O)N1C)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C)CCCN=C(N)N)C)C(=O)O,[M-H]-,288.8
C/C=C\1/C(=O)N[C@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@H](CCC(=O)N1C)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C)CCCN=C(N)N)C)C(=O)O,[M+Na]+,274.9
C[C@H]1C(=O)N[C@H](C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1C)CCC2=CC=C(C=C2)O)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CC3=CC=CC=C3,[M+H]+,278.3
C[C@H]1C(=O)N[C@H](C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1C)CCC2=CC=C(C=C2)O)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CC3=CC=CC=C3,[M-H]-,286.4
C[C@H]1C(=O)N[C@H](C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1C)CCC2=CC=C(C=C2)O)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CC3=CC=CC=C3,[M+Na]+,282.2
