SMILES,Adduct,True CCS
C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,[M+H]+,200.15
C[N+](C)(C)CCOP(OC[C@]([H])(O)COC(CC=CCC=CCCCCCCCCCCCCCCCCCCC)=O)(=O)O,[M+H]+,256.2
[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCC)=O,[M+H]+,269.06
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C#C)O)C,[M+Na]+,205.6
CC1(C(C(C(C(O1)(OC2(C(C(C(CO)(OC2(OC3=CC(=C4C(CC(C=5C=CC(=C(C5)O)O)(OC4=C3)[H])=O)O)[H])[H])(O)[H])(O)[H])[H])[H])(O)[H])(O)[H])(O)[H])[H],[M-H]-,221.7
C1=CC=C(C=C1)C(=O)NCC(=O)O,[M+Na]+,151.1856696
CCCCC/C=C/C=C/1\[C@H](C=CC1=O)C/C=C\CCCC(=O)O,[M+Na]+,192.75
[H][C@@](CO\C=C/CCCCCCCC\C=C/CCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,[M+H]+,291.4
C(OC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,[M+Na]+,303.125
[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,[M-H]-,280.5
COC1=CC2=C(C=C1)NC=C2CC(=O)O,[M+H]+,144.1
CCCCCCC(C)OC(=O)COC1=NC(F)=C(Cl)C(N)=C1Cl,[M+H]+,189.2
CC=1C=C(CC(=O)O)N(C)C1C(C2=CC=C(C=C2)Cl)=O,[M+H]+,164.6
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCCCC)=O)(=O)O,[M+H]+,301.5733333
C(OC(=O)CCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O,[M+Na]+,283.22
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N,[M-H]-,143.71
[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C=C/CC\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC,[M-H]-,279.5
CCCC(=NC1=C2C(=NC=N1)N(C=N2)C3(C(C4(C(COP(O)(=O)O4)(O3)[H])[H])(OC(CCC)=O)[H])[H])O,[M+H]+,215.3
NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1,[M-H]-,149.5
[C@]([H])(O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCCCCCCCCCCCCC)=O,[M-H]-,228.0333333
C1=NC2=C(N)N=C(NC2=N1)O,[M-H]-,121
[C@](CO[C@@H]1O[C@H](CO)[C@@H](O)C(O)C1O)([H])(NC(CC=CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+H]+,293.54
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,[M-H]-,206.3
[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC,[M+H]+,262.23
C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,[M+H]+,159.7333333
[H][C@@](COC(C)=O)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCC,[M-H]-,283.1
[C@](CO[C@@H]1O[C@H](CO)[C@@H](O)C(O)C1O)([H])(NC(CCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CC=CCCCCCCCCCCCC,[M+Na]+,287.115
COC1=CC(=CC(=C1OC)OC)C(=O)N2CCOCC2,[M+H]+,164.5
CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC)CO[P]([O-])(=O)OCC(O)COC(=O)C(N)CCCC[NH3+],[M+H]+,290.4
C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)(=O)O,[M+Na]+,291.34
[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCC)=O)COCCCCCCCCCCCCCCCCCCCC,[M-H]-,261.67
